,IPCNum,content
2203,B60T13/74,一种 飞机 电 刹车 装置 的 作动器 减速 齿轮 组件 滚珠 丝杠 组件 安装 在 壳体 内 减速 齿轮 组件 的 第二 齿轮 与 滚珠 丝杠 组件 中 的 滚珠 丝杆 组件 齿轮 啮合 第一 齿轮 与 电机 输出 轴 啮合 插头 组件 将 所述 电机 的 导线 和 信号处理器 输出 端的 导线 引出 力 传感器 的 数据线 与 信号处理器 的 数据 输入 端口 联通 活塞 密封 安装 在 所述 中 壳体 和 下 壳体 内 滚珠 丝杠 组件 安装 在 所述 活塞 内 本发明 通过 控制 电机 产生 相应 的 转矩 利用 减速 齿轮 组件 将 转矩 放大 通过 滚珠 丝杠 把 旋转 运动 转化 为 直线运动 输出 转换 为 刹车 所 需要 的 推力 克服 了 现有 技术 中 的 缺陷 结构 简单 传动 效率高 实现 了 机电 作动器 的 闭环控制
885,F16K15/20,本 实用新型 公开 了 一种 组合式 内胎 由 多 向 充 排气装置 扩张器 和 两至 十二个 小 内胎 组成 多向充 排气装置 由 环形 气流 管道 活动 螺母 橡胶 垫圈 金属 筒 活塞 顶竿 弹簧 组成 环形 气流 管道 上 设置 有 充气 孔和出 气孔 小 内胎 的 形状 为 弧形 两至 十二个 小 内胎 共同 组成 一个 圆环 形状 小 内胎 的 气门嘴 穿过 轮辋 边沿 的 小孔 后 通过 活动 螺母 紧套 在 多 向 充 排气装置 的 出 气孔 上 当 需要 给 小 内胎 充气 或 排气 时 把 扩张器 套 在 多 向 充 排气装置 内 通过 推动 扩张器 从而 推动 多向充 排气装置 的 活塞 运动 使顶 杆 顶开 各个 小 内胎 的 气门嘴 即可 从 充气 孔 同时 给 各个 小 内胎 充气 或 排气 当 充气 或 排气 结束 后 拔出 扩张器 活塞 与 扩张器 脱离 接触 弹簧 回复 顶杆 离开 气门嘴 各个 小 内胎 的 气门嘴 自动 关闭 本 实用新型 安全 可靠 当 某个 小 内胎 发生 爆胎 时 其他 小 内胎 能够 保持 完好 防止 组合式 内胎 里 所有 的 气体 瞬间 便 全部 漏掉 可 减少 飞机 或 汽车 因 爆胎 造成 的 交通事故 的 发生
1240,B64F5/00,本 实用新型 公开 了 一种 航空 地勤 保障 车 包括 设有 驾驶室 和 车厢 的 车体 车厢 顶部 设置 有 升降式 照明灯 车厢 内 设置 有 第一 工具 存放 架 和 第二 工具 存放 架 第一 工具 存放 架 和 第二 工具 存放 架 之间 设置 有过 道 过 道 前端 设置 有 操作 平台 操作 平台 上 设置 有 车载 硬盘 录像机 和 气象 系统 主机 车载 硬盘 录像机 的 输入 端接 有 第一 摄像头 和 第二 摄像头 车载 硬盘 录像机 的 输出 端接 有 车载 DVD 和 显示器 气象 系统 主机 上 连接 有 设置 在 车厢 顶部 的 信号 天线 第一 工具 存放 架 下方 设置 有 车载 发电机 第二 工具 存放 架 下方 设置 有 蓄电池 和 双电源 切换 装置 双电源 切换 装置 上 设置 有市 电 接口 本 实用新型 使用 操作 便捷 功能齐全 外出 速度 快 工作效率 高 满足 日常 飞机 维护 工作 的 实际 需求
88,G08G5/04,本发明 公开 了 一种 机载 防撞 与 近地 告警 监视系统 包括 一套 四 通道 L 波段 天线 和 系统 主机 所述 系统 主机 由 数据处理 模块 射频 模块 基带 模块 电源模块 等 构成 所述 四 通道 L 波段 天线 通过 同轴电缆 与 射频 模块 相连接 所述 射频 模块 通过 基带 模块 与 数据处理 模块 相连接 系统 主机 通过 与 机载 网络 AFDX 连接 或 自带 接口 单元 获取 机体 状态 信息 有益 效果 该 系统 为 飞行员 提供 最 合理 的 监视 告警信息 和 避让 建议 减轻 飞行员 的 工作 压力 和 避免 人为 错误判断 增加 飞机 飞行 安全 并且 该 系统 实现 了 资源 复用 减轻 机体 监视 设备 重量 体积 功耗 成本 增加 了 设备 可靠性 和 可扩展性
43,B64D47/02,本发明 公开 了 一种 无人 直升机 在 电网 输电 线路 巡检 的 方法 在 无人 直升机 的 起落架 安装 两盏 的 常亮 航向 灯 同时 在 无人 直升机 尾部 安装 一盏 的 航向 灯 三盏 的 常亮 航向 灯为 不 一样 的 颜色 在 无人 直升机 起落架 上 还 安装 有 两盏 的 防撞 灯 防撞 灯 的 方向 朝下 同时 还 包括 有 一 独立 的 移动 照明 装置 所述 的 照明 装置 包括 有 支架 及 设置 于 支架 上 的 照明灯 组成 巡检 时 采用 夜航 的 方式 进行 将 独立 的 移动 照明 装置 安置 于 测控 车上 或 置于 测控 车旁 以 保证 起降 区 哉 有 足够 亮度 本发明 的 无人 直升机 在 电网 输电 线路 巡检 的 方法 夜间 巡视 时 地表 温度 降低 其他 背景 温度 也 都 有所 降低 这 在 线路 有发 热点 时 有利于 降低 复杂 的 背景 对 巡检 效果 的 影响 提高 红外 检测 的 准确度
313,F16C7/00,本发明 涉及 一种 制造 结构件 的 方法 该 结构件 包括 管状 部分 30 由 复合材料 制成 的 结构 元件 从 管状 部分 中 突出 所述 方法 包括 如下 步骤 使 平面 预制件 59 成形 该 预制件 包括 叠置 的 多股 纤维 的 堆叠 因而 在 预制件 将要 形成 结构 部 的 至少 一部分 上 各股 彼此 固定 而 在 预制件 将要 形成 用于 连接 到 管子 的 一部分 的 至少 另 一部分 上 各股 是 可 分开 的 以 形成 面向 的 两片 54 将 管子 30 插入 连接 部 的 各片 之间 以使 各片 至少 部分 地 围绕 管子 将 管子 连结 到 预制件 以 使 管子 形成 管状 部分 而 预制件 形成 结构件 的 结构 元件
95,B60B9/26,除震 车轮 属于 保护 被 冲击力 冲击 物体 避免 震动 和 破坏 的 技术设备 除震 车轮 用作 车辆 的 车轮 保护 行驶 中 的 车辆 运行 在 不 平坦 的 路面 上 或 碰到 障碍物 时所 产生 的 冲击力 不 对 车体 造成 震动 和 破坏 除震 车轮 是 由 不同 部件 构成 的 弹性 结构 体 能 将 承受 到 的 冲击力 经过 轮内 机构 的 疏导 分解 重新 合成 合力 并 控制 它 的 传递 途径 不 经过 车体 而 导向 路面 从而 确保 车辆 平稳 运行 除震 车轮 可 用作 自行车 摩托车 汽车 和 铁路车辆 的 车轮 飞机 起降 轮 等等
1798,F16L11/15,一种 波纹管 尤其 是 一种 波纹 间隔 小 弹性系数 大 弹力 大 使用寿命 长 阻尼 稳定 补偿 性能 好 特别 适宜 在 需要 弹力 大 精度 要求 高 的 飞机 汽轮机 汽车 上 的 油压 系统 中 使用 由二片 中间 有 通孔 的 圆盆形 的 波纹 片为 一组 背靠背 在 中间 通孔 处 焊接 成 内圈 贴牢 的 一体 为 两片 间 有 相同 间隔 的 一个 单元 第二 单元 上 下 波纹 片 分别 与 第一 单元 下 波纹 片 第三 单元 上 波纹 片 第三 单元 下 波纹 片 与 第四 单元 上 波纹 片 … … 按此 规律 面对面 在 外圈 处 焊接 成 复合 片 构成 为 复合 片 互相 平行 间隔 相等 的 迭 装 焊接式 圆环 体 波纹管
541,F16N3/08,本 实用新型 是 一种 填 油车 式 脚踏 高压 注油 机 它 具有 操作 方便 减小 劳动强度 不 污染 操作者 并 可 消除 排空 现象 的 特点 它 包括 贮油仓 柱塞泵 机构 和 拉杆 器 贮油仓 开口 端用 螺栓 与 柱塞泵 连接 柱塞泵 中间 空腔 与 贮油仓 相通 贮油仓 另一端 与 端盖 连接 拉杆 器装 在 贮油仓 伸出 的 拉杆 上 并 与 端盖 连接 在 一起 本 实用新型 结构 简单 实现 容易 适用 于 工厂 矿山 汽修 机车 飞机 轮船 军械 等 有 机械 润滑 的 行业
91,F16D13/52,本发明 公开 了 一种 多段 式 大功率 高速 多片 湿式 离合器 属于 机械传动 与 驱动 技术 领域 离合器 包括 缸 套 多个 活塞 和 多组 摩擦 副 所述 活塞 和 摩擦 副 同时 安装 在 缸 套 内部 所述 一个 活塞 对应 一组 摩擦 副 并 在 缸 套 内部 形成 一个 工作 段 每个 工作 段 通过 单独 充 放油 控制 活塞 对 摩擦 副 正 压力 的 变化 实现 一个 工作 段 的 摩擦 转矩 输出 工作 段 与 工作 段间 进行 充 放油 交替 匹配 控制 变化 最终 实现 离合器 摩擦 转矩 输出 的 连续 可控 本发明 解决 了 高速 差 与 大 摩擦 转矩 不能 兼顾 的 矛盾 能够 满足 主 被动 转速 差 大于 每分钟 5000 转 且 传递 摩擦 功率 大于 500 千瓦 的 飞机 和 高速 车辆 的 使用 需求
707,B60R22/18,一种 不 紧贴 身式 安全带 包括 安全带 收卷器 插板 锁扣 和 限制器 该 限制器 含 壳体 壳体 侧面 有 安全带 进出口 壳体 内 设置 上 下 转轴 下 转轴 与 下 壳 的 两个 下轴座 动配合 下 转轴 上 固定 夹紧 套 两下 轴座 上 均 装 电磁铁 下 转轴 上 装有 棘轮 和 棘爪 机构 上 转轴 上 固定 夹紧 套 动配合 的 两 上轴座 两上 轴座 分别 位于 上壳 的 两 滑轨 内 两上 轴座 设有 拉簧 上 转轴 安装 棘轮 和 棘爪 机构 上轴座 下部 可装 电磁铁 还 可 在 下 壳 内 安装 驱动 下 转轴 的 马达 其 设置 了 自动 或 手动 限制器 具有 传统 安全带 的 保护 作用 同时 可 适度 调整 安全带 的 松弛 度 使 安全带 不 紧贴 于 使用者 身上 消除 对 使用者 身体 的 过 紧 束缚 感 结构 简单 安装 方便 可 广泛 用于 汽车 飞机 高速 列车 等
2199,G08G5/00,本发明 涉及 地面 车辆 应答机 特别 是 涉及 一种 用于 如果 地面 单元 是 威胁 则 向 周围 的 飞机 报警 的 系统 和 方法 一个 实例 系统 位于 地面 单元 上 该 系统 包括 感测 地面 单元 位置 的 位置 传感器 存储 预先 定义 的 威胁 区域 信息 的 存储器 发送 预先 定义 的 应答机 信号 的 发射器 以及 与 位置 传感器 存储器 和 发射器 进行 数据通信 的 处理器 基于 威胁 区域 信息 和 所感 测 的 地面 单元 位置 处理器 指示 发射器 发送 应答机 信号
641,B64D47/00,一种 飞机 牵引车 智能 语音 识别系统 其 包括 语音 传输 设备 语音 处理 设备 外放 与 采集 设备 和 输出 电路 其中 语音 传输 设备 通过 连接线 与 飞机 的 耳机 插口 相连接 语音 处理 设备 分别 与 语音 传输 设备 外放 与 采集 设备 和 输出 电路 相连接 输出 电路 与 飞机 牵引车 的 控制电路 相连接 本发明 提供 的 飞机 牵引车 智能 语音 识别系统 是 利用 连接线 同 飞机 相连 来 使 驾驶员 和 机上 人员 进行 实时 通话 并 可以 由 机上 人员 直接 向 牵引车 发出 指令 使 相应 设备 进行 接受 并 识别 从而 提高 了 牵引 过程 的 安全性 具有 操作 方便 等 优点
975,B64F1/16,本 实用新型 提供 了 一种 适用 于 飞机 汽车 停留 用 的 轮 档 结构 采用 橡胶 外 包层 包住 实心 木料 构成 其 横截面 为 矩形 或 方形 上 叠加 一 三角形 轮档 两端 分别 固定 一块 用 反光 漆涂 上 警示 标志 的 金属板 本 实用新型 的 优点 是 其 强度 防滑 性能 达到 行业标准 寿命长 重量轻 易于 搬运 堆放 撤轮 档 方便 有 警示 作用 既 是 轮 档 又 可作 一种 警示 标志 其 醒目 标志 让 人们 注意 到 轮 档 存在 避免 使用 不 规范 替代物 所 造成 的 不 安全 因素
762,B60C29/02,一种 分隔 式 多 气室 防爆 胎 包括 轮辋 和 轮胎 轮辋 和 轮胎 之间 设置 为 充气 腔 在 轮辋 上 设有 向 充气 腔 内 充气 的 气 嘴 在 充气 腔 内 设有 至少 一圈 沿 轮胎 周向 设置 的 橡胶 分隔 条 将 充气 腔 分隔 成 至少 两个 相互 隔绝 的 密闭 腔室 至少 有 一个 密闭 腔室 通过 连接 管 与 气 嘴 相连 所述 气嘴 并列 设置 有 至少 二个 进气 通道 可以 给 轮胎 内 的 多个 气室 同步 充 放 气 本发明 爆胎 后 不会 象 普通 真空 胎 那样 整个 轮胎 失压 本发明 爆胎 失压 空间 仅 占 轮胎 内 空间 一小部分 轮胎 内 大部分 空间 仍 可 保持 一定 胎压 本发明 可 使用 普通 轮辋 制造 方便 安装简单 实现 成本低 提高 了 车辆 爆胎 后 的 主动 安全 性能 可 适用 于 轿车 客车 货车 等 各种 车型 并 能 适用 于 飞机 真空 胎
1724,B60R13/01,公开 了 一种 板条 结构 300 和 一种 形成 板条 结构 300 的 方法 板条 结构 300 典型 地 包括 与 可 激活 材料 310 相连 的 至少 一个 板条 302 304 或 支架 306 已 发现 板条 结构 300 特别 有益 地 用作 飞机 的 内部 板条 尽管 也 可以 用于 多个 其他 的 应用
2055,B60R25/02,本 实用新型 涉及 一种 汽车 方向盘 气囊 锁 包括 本体 及其 设在 前端 的 抵 伸管 在 本体 后 端 设置 锁座 及 与 伸缩 杆上 设有 的 数道 环槽 齿 形成 锁定 配合 的 锁 芯 本体 与 锁 座 中 设有 轴向 贯通 的 通孔 伸缩 杆 置于 锁座 端 通孔 中 其后 端 设置 开口 向 后 的 箍 钩 在 本体 的 前端 下方 设有 开口 向前 的 箍 钩 抵伸 管 置于 本体 前端 通孔 中 相应 的 本体 中 设置 抵伸 限位 件 在 锁 本体 及锁座 的 两侧 固 设有 向 两翼 伸展 的 挡板 本 锁具 开口 相向 的 箍 钩 套 固于 方向盘 的 环 盘内 圈上 抵伸 管 从 本体 中拉出 挡板 将 方向盘 遮盖 实现 方向盘 整体 的 锁挚 其 整体 结构 精简 制造 成本低 防盗 效果 好 使用 便利 锁固 极佳
2050,B64C13/28,一种 螺旋桨 拉力 方向 实时 调节 装置 涉及 轻型 螺旋桨 飞行器 包括 电机 联轴器 万向 球头 调节 柄 和 舵机 电机 安装 于 外部 机翼 联轴器 一端 外接 电机 输出 轴 联轴器 另一端 与 万向 球头 的 球 头端 配合 连接 万向 球头 另一端 外接 螺旋桨 万向 球头 通过 轴承 与 调节 手柄 连接 调节 手柄 末端 与 舵机 连接 舵机 安装 于 外部 机翼 可 改变 高速旋转 的 螺旋桨 拉力 线 与 电机 轴 轴线 的 角度 使 螺旋桨 高速旋转 产生 的 拉力 方向 发生 改变 在 飞机 进行 机动 动作 时 与 飞机 的 控制 舵面 相互配合 提高 飞机 机动性 能 旋转 螺旋桨 拉力 线 实时 可调 有效 避免 传统 飞机 进行 机动 动作 时 产生 的 气流 分离 增大 了 其 失速 迎角 可 明显提高 飞机 的 机动性 能 适当 减弱 对 飞机 舵面 效率 要求
896,B60R11/02,车载 语言 复读机 就是 将 语言 复读机 固定 安装 在 能 提供 电源 的 交通工具 如 汽车 火车 船 飞机 等 上 使用
2339,B64D11/00,用于 具有 增强 接口 性能 的 用户 接口 设备 200 的 连接 支撑 deployment 系统 100 及其 制造 和 使用 的 方法 所述 连接 支撑 系统 包括 经由 延伸 支撑 系统 耦接 的 主 旋转 接头 系统 110 和 设备 装配 组件 120 主 旋转 接头 系统 110 使 所述 连接 支撑 系统 能够 安装 在 诸如 扶手 444 的 任何 合适 的 安装 位置 而 所述 设备 装配 组件 配置 为 接收 所选 的 用户 接口 设备 200 有利 地 所述 连接 支撑 系统 提供 用于 容纳 更大 的 通信 线缆 的 加大 的 内部 通道 以及 用于 支撑 用户 接口 设备 200 的 增加 的 重量 的 渐进式 离合器 系统 110A 因此 连接 支撑 系统 100 能够 在 打开 用户 接口 设备 200 的 过程 中 保持 近乎 恒定 的 张力 防止 砸伤 用户 和 对 所述 用户 接口 设备 的 损坏
226,B64C25/42,本 实用新型 公开 了 一种 飞机 机轮 刹车 装置 的 刹车 壳体 组件 包括 刹车 壳体 支承 杯 铆钉 密封环 所述 刹车 壳体 的 前端 面 设有 与 起落架 轴 配合 的 11 个 孔 使用 螺栓 连接 所述 刹车 壳体 圆周 面上 均 设置 有 12 个 凸键 与 承压 盘 压紧 盘和静盘 的 内 键槽 配合 所述 刹车 壳体 上 的 两个 凸键 与 汽缸 座 组件 内圆 的 相应 键槽 配合 以 确定 汽缸 座 组件 的 圆周 向 位置 所述 刹车 壳体 的 帽沿 处 端面 均布 12 个 支承 杯孔 用于 安装 所述 支承 杯 所述 支承 杯 通过 所述 铆钉 连接 固定 于 刹车 壳体 上 所述 密封环 安装 于 所述 刹车 壳体 内腔 处 的 密封环 槽 本 实用新型 为 整体式 结构 具有 重量轻 强度 高 刚度 强 耐高温 结构 简单 使用 维护 方便 等 优点
60,G08B13/187,本 实用新型 公开 了 一种 泄漏 电缆 入侵 探测器 它 涉及 无线电 探测 领域 中 的 周界 防护 探测 装置 它 由 发射 模块 泄漏 电缆 放入 模块 多普勒 提取 模块 信号处理 模块 信息处理 模块 报警器 低压 电源 直流电源 匹配 负载 辅助 电缆 等 部件 组成 它 采用 雷达 多普勒 原理 通过 泄漏 电缆 辐射 及 接收 辐射 的 电磁波 信号 根据 物体 移动 的 速度 变化 从而 使 电磁波 频率 产生 变化 达到 周界 防护 探测 的 目的 它 还 具有 探测 灵敏度 高 适用性 强 报警 功能强大 性能 稳定 安装 结构 简单 等 优点 特别 适用 于 智能 小区 企事业 单位 仓库 农场 养殖场 飞机场 等 非 强制性 场所 作周界 防护 探测 报警装置
1409,F16C32/00,本 实用新型 公开 了 一种 低 转数 消声 尼龙 轴承 它 由 轴承 内套 和 轴承 外套 构成 轴承 内套 有 凸台 轴承 外套 与 轴承 内套 间隙 配合 轴承 内 外套 接触 平面 为 摩擦 面 本 实用新型 采用 尼龙 轴承 隔离 铁轴 铁套 与 支撑 面 变 现有 金属 轴 套及 支撑 面 的 摩擦 为 尼龙 轴承 之间 的 摩擦 抗磨性 强 耐腐蚀 具有 自 润滑性 无噪音 该 轴承 制做 成本低 可 广泛应用 于 飞机 客轮 火车 汽车 的 门轴上 或 用于 防盗门 铁卷 柜门 保险柜 门 建筑物 房间 门及 院子 大门 等 门轴上
414,F16B17/00,一种 用于 增强 飞机 零部件 牵引力 的 紧固 装置 包括 压紧 套 受力 外套 和 钢丝绳 其 特征 在于 所述 受力 外套 左端 开 有 定位 孔 所述 受力 外套 右端 开 有 钢丝绳 伸出 孔 所述 钢丝绳 伸出 孔 与 定位 孔 底端 连通 所述 钢丝绳 伸出 孔 的 直径 小于 定位 孔 的 直径 所述 紧固 装置 还 包括 内 夹紧 套 所述 钢丝绳 的 左端 安装 在内 夹紧 套内 组成 组合 件 该 组合 件 从 定位 孔 入口 塞入 定位 孔 底部 所述 钢丝绳 右端 从 受力 外套 右端 钢丝绳 伸出 孔 伸出 所述 压紧 套 从 受力 外套 左 端的 定位 孔压入 抵住 组合 件 左端 使得 组合 件 的 内 夹紧 套 右端 抵住 定位 孔 底端 本 实用新型 有效 的 保证 了 内部 组合 件 不会 松动 滑行 从而 确保 紧固 装置 的 紧固 性能 其 结构 比较简单 使用 效果 非常 好 大大 延长 了 紧固 装置 的 寿命
2349,G08C17/02,本 实用新型 涉及 一种 无线 传输 飞行 数据测试 系统 包括 飞行数据 采集 系统 所述 飞行数据 采集 系统 包括 飞行数据 采集 组件 以及 无线 快速 存储器 还 包括 地面 移动 信号 塔 和 地面 通讯 管理 服务器 所述 飞行数据 通过 无线 快速 存储器 经由 地面 移动 信号 塔 传输 到 地面 通讯 管理 服务器 还 包括 维护 工程 及 飞行 操作系统 飞行 数据分析系统 机载 数据 装载机 所述 地面 通讯 管理 服务器 将 数据 分 发给 维护 工程 及 飞行 操作系统 飞行 数据分析系统 机载 数据 装载机 本 实用新型 解决 了 传统 工作 中 人工 使用 传输 介质 去 下载 飞行数据 解决 了 反复 机械 的 操作 对 设备 造成 的 损坏 的 危害 使 地面 能够 及时 有效 的 得到 飞行数据 跟踪 飞机 的 技术 状态
2253,F16B21/16,本发明 涉及 一种 锚固 叉 1 该 锚固 叉 特别 用于 飞机 该 锚固 叉 能够 与 平台 的 锚固 格栅 2 配合 该 锚固 叉 包括 千斤顶 3 所述 千斤顶 包括 气缸 4 所述 气缸 中 包含 可动 活塞 5 所述 活塞 设有 杆 6 所述 杆 延伸 超出 所述 气缸 所述 杆 的 自由 端 包括 钩 在 格栅中 的 叉 头 7 所述 叉头 包括 保持 指状件 8 13 14 所述 保持 指状件 可以 通过 控制部件 9 在 回缩 位置 和 活动 位置 之间 运动 本发明 的 特征 在于 所述 千斤顶 通过 控制 装置 31 连接 到 加压 流体 源 30 所述 加压 流体 源 具有 容纳 可 消耗 气体 的 瓶 30
729,B60F5/02,海 陆 空三用 直升飞机 现有 的 飞机 均 是 陆地 水面 降陆 不能 作 船艇 使用 其 功能 单一 本发明 海 陆 空三用 直升飞机 其 特征 在于 海 陆 空三用 直升飞机 在 水面 降陆后 可 作 船艇 使用 在 陆地 降陆后 采用 驱动 车轮 可 在 道路 上 行驶 行驶 至 车库 机库 停放 充分利用 有限 的 空间 降 陆桥 板上 的 压缩 气体 储 气筒 能 瞬间 将 隐蔽 气囊 充气 应急 所用 降陆时 更为 安全
657,B64D27/24,本发明 提出 了 一种 综合 核心 处理机 多 模式 混合 供电系统 系统 包括 定义 三种 工作 模式 的 ICP 包括 相互 切换 的 关键 任务 工作 模式 正常 工作 模式 和 应急 工作 模式 关键 任务 工作 模式 ICP 仅 实现 航电 系统 关键 任务 的 运行 处理机 处于 APU 供电 状态 ICP 的 关键 模块 NSM1 NSM2 GPIO1 GPIO2 MMM 工作 处理机 处于 主发 供电 即 正常 供电 状态 应急 工作 模式 ICP 仅 实现 航电 系统 关键 任务 的 运行 本发明 综合 核心 处理机 多 模式 混合 供电系统 及 方法 通过 ICP 动态 多 模式 工作 设计 来 满足 系统 混合 供电 方式 的 需求 使 ICP 能 实时 根据 飞机 供电系统 的 变化 动态 调整 工作 模式 满足 飞机 系统 混合式 供电 要求 和 航电 系统 的 关键 任务 执行 适应性
2268,G08G5/06,一种 使用 激光 脉冲 获得 某 距离 内 的 物体 形貌 从而 实现 飞机 检测 辨识 和 进站 的 系统 首先 扫描 门前 的 区域 直到 其 定位 并且 确认 一个 物体 当 物体 得到 确认 后该 系统 即 跟踪 该 物体 同时 该 系统 还 检测 该 物体 附近 的 区域 来 探测 是否 有 诸如 地勤 车辆 之类 的 障碍物 该 系统 还 能够 分析 激光 脉冲 来 确定 究竟 是 一个 固体 物质 反射 了 激光 脉冲 还是 水凝物 或者 水化物 从而 避免 将 后者 错误 地 识别 成 固体 物质
1714,G08G5/00,本发明 机场跑道 警示 系统 是 于 跑道 Runway 两侧 设置 多个 与 跑道 平行 排列 的 警示灯 具 且 每 一 警示灯 具是 与 至少 一 用以 感测 其 邻近 跑道 区域 是否 净空 的 传感器 连接 而 所有 的 警示灯 具及 传感器 均 连接 于 一 设置 在 机场 塔台 上 的 中央 控制 单元 该 中央 控制 单元 进一步 连接 有 设置 在 每个 连络 道 入口处 的 主 显示 灯 透过 各 警示灯 具 各 传感器 中央 控制 单元 以及 主 显示 灯 的 配合 以 对 驾驶员 及 塔台 人员 多 提供 一项 跑道 现况 的 信息 并且 还 可 针对 跑道 上 突然 出现 的 障碍物 进行 实时 的 警示
776,F16M3/00,本发明 公开 了 一种 机械式 飞机 千斤顶 包括 支撑架 快速 顶升 机构 用于 带动 所述 快速 顶升 机构 在 空载 行程 移动 或 定位 的 快速 驱动 机构 承载 套筒 以及 用于 带动 所述 承载 套筒 在 荷载 行程 移动 或 定位 的 重载 驱动 机构 所述 快速 驱动 机构 安装 在 承载 套筒 上 所述 快速 顶升 机构 的 下端 伸入 承载 套筒 内 并 与 所述 快速 驱动 机构 传动 配合 所述 重载 驱动 机构 安装 在 支撑架 上 并 与 所述 承载 套筒 传动 配合 该 机械式 飞机 千斤顶 将 快速 顶升 机构 的 快速 驱动 机构 和 承载 套筒 的 重载 驱动 机构 相 分离 使得 快速 顶升 机构 能够 快速 的 达到目标 位置 使得 该 机械式 飞机 千斤顶 的 上升时间 能够 大幅度 缩短
1083,F16F9/43,飞机 起落架 缓冲 支柱 高低压 腔 充气 设备 涉及 一种 充气 设备 本发明 为了 解决 现有 的 充气 设备 结构复杂 充气 过程 繁杂 充气 设备 与 起落架 缓冲 支柱 高低压 腔间 的 气密性 能差 充气 量 控制 不 精准 的 问题 主 阀体 内部 水平 开设 有阀 腔 阀腔 的 左端 采用 堵头 封堵 阀腔 的 右端 与 第二 直通 连接 第一 直通 与 充气 球阀 连接 充气 球阀 和 放气 球阀 均 与 阀腔 连通 充气 开关 与 充气 球阀 连接 放 气 开关 与 放气 球阀 连接 放 气 球阀 上 安装 有 微调 开关 压力表 位于 在 充气 球阀 与 放气 球阀 之间 压力表 安装 在 主 阀体 上且 与 阀腔 连通 第一 直通 与 高压 氮气 瓶 连接 第二 直通 与 起落架 缓冲 支柱 高低压 腔 连接 本发明 的 充气 设备 结构 简单 简化 结构 的 同时 气密性 得到 了 大幅 的 提高
152,F16B19/02,本 实用新型 属于 飞机 装配 技术 涉及 一种 用于 激光 跟踪 仪 测量 的 长 圆孔 光标 球座 转接器 其 特征 在于 它 是 一个 长 圆孔 衬套 3 长 圆孔 衬套 3 的 长 圆体 尺寸 与 工装 定位 件 4 上 的 长 圆孔 4a 间隙 配合 长 圆孔 衬套 3 的 内 孔为 圆孔 长 圆孔 衬套 3 内孔 的 尺寸 与 光标 球座 2 的 定位 销轴 2a 间隙 配合 本 实用新型 提供 了 一种 能 提高 长 圆孔 位置 检测 精度 的 长 圆孔 光标 球座 转接器 大大 减小 了 测量误差 保证 了 工装 定位 件 的 定位精度
2047,B64F1/36,本 实用新型 提供 一种 具有 为 飞机 供电 功能 的 电动 车辆 该 电动 车辆 包括 底盘 车身 和 安装 在 底盘 上 的 电池组 其中 所述 电动 车辆 还 包括 电压 调节 装置 所述 电压 调节 装置 的 一端 与 电池组 电性 连接 所述 电压 调节 装置 的 另一端 未 被 占用 以 用于 和 飞机 相连 而 为 飞机 提供 电源 本 实用新型 提供 的 电动 车辆 使用 两套 独立 的 供电系统 一套 供电系统 用于 通过 直流 变 交流 而 为 电动机 供电 从而 驱动 电动汽车 另 一套 供电系统 用于 通过 电压 和 或 频率 调节 装置 改变 电池组 的 输出 电压 和 或 频率 从而 为 飞机 供电
1349,B60N2/42,一种 两种 座椅 可 用于 汽车 飞机 上作 安全 防护 的 安全 坐椅 也 可供 学校 作防 近视 学生 座椅 在 座椅 背靠 的 上方 设置 “ 工 ” 字形 压肩 和 肩 抱块 座椅 一侧 下部 设置 杠杆 和 手柄 背靠 后方 设置 连动 杆 连动 杆 把 “ 工 ” 字形 压肩 和 下方 的 杠杆 装置 连接起来 在 手柄 和 座垫 边上 设置 锁块 和 锁 钩 及 控制 柄 手柄 的 上下 移动 通过 杠杆 连动 杆 使 “ 工 ” 字形 压肩 带动 肩抱 块 转动 使肩 抱块 从 肩上 向下 把 人 抱住 或 向上 转动 把 人 放开 肩抱 块 的 “ 抱住 ” 或 “ 放开 ” 可 在 手柄 的 上下 移动 中 完成 操作 简便 汽车 和 飞机 上 使用 可防 乘人前 撞 受伤 孕妇 也 可 使用 学校 中 使用 可纠正 学生 坐姿 防止 学生 看书 或 扶 着 写字 眼睛 离 书本 太 近日 久 视力 受 影响 甚至 成 近视眼
1572,G08B17/117,本 实用新型 提供 一种 采用 烟雾 气体 传感 的 吸气 式 飞机 货舱 火灾 探测器 包括 采样 口 采样 管 烟雾 探测 单元 气体 探测 单元 抽 气泵 排气管 控制 处理单元 报警 指示 单元 电源 单元 采样 口 外侧 安装 防护罩 内部 依次 装有 过滤 组件 和 干燥 组件 采样 口后 通过 采样 管 依次 连接 烟雾 探测 单元 气体 探测 单元 抽 气泵 排气管 烟雾 探测 单元 采用 激光 感烟 传感 光源 与 感光 元件 的 角度 范围 为 155 ° ～ 165 ° 气体 探测 单元 由 一氧化碳 传感器 和 二氧化碳 传感器 并联 组成 本 实用新型 可以 快速 探测 到 早期 火灾 并 消除 环境 中 对 探测 性能 影响 的 因素
